x,y,z
0.000000,0.100000,3.100000
5.400000,0.400000,3.400000
9.000000,-0.500000,3.700000
18.000000,-0.500000,3.400000
30.300000,-0.200000,4.300000
33.900000,-0.200000,4.300000
34.200000,0.100000,4.000000
34.500000,0.400000,3.700000
35.400000,0.700000,3.400000
41.100000,0.400000,3.400000
42.900000,-1.400000,3.400000
43.200000,-1.400000,3.700000
43.500000,-1.400000,3.700000
43.800000,-1.400000,4.000000
45.000000,-0.800000,4.000000
45.300000,-0.500000,3.700000
46.500000,-0.500000,3.700000
47.700000,0.700000,3.700000
48.000000,0.400000,4.000000
48.300000,0.100000,4.300000
51.900000,0.100000,4.300000
52.200000,-0.200000,4.000000
52.800000,-0.800000,3.400000
57.900000,-0.800000,3.100000
60.000000,0.100000,3.100000
