t,x,y,z,qw,qx,qy,qz
0.000000,23.048092,-8.196085,2.925980,1.0,0.0,0.0,0.0
0.020000,23.048092,-8.146362,2.935770,1.0,0.0,0.0,0.0
0.040000,23.048092,-8.096639,2.945556,1.0,0.0,0.0,0.0
0.060000,23.048092,-8.046915,2.955334,1.0,0.0,0.0,0.0
0.080000,23.048092,-7.997192,2.965101,1.0,0.0,0.0,0.0
0.100000,23.048092,-7.947469,2.974853,1.0,0.0,0.0,0.0
0.120000,23.048092,-7.897745,2.984585,1.0,0.0,0.0,0.0
0.140000,23.048092,-7.848022,2.994295,1.0,0.0,0.0,0.0
0.160000,23.048092,-7.798299,3.003977,1.0,0.0,0.0,0.0
0.180000,23.048092,-7.748575,3.013629,1.0,0.0,0.0,0.0
0.200000,23.048092,-7.698852,3.023247,1.0,0.0,0.0,0.0
0.220000,23.048092,-7.649129,3.032826,1.0,0.0,0.0,0.0
0.240000,23.048092,-7.599405,3.042364,1.0,0.0,0.0,0.0
0.260000,23.048092,-7.549682,3.051855,1.0,0.0,0.0,0.0
0.280000,23.048092,-7.499959,3.061298,1.0,0.0,0.0,0.0
0.300000,23.048092,-7.450235,3.070687,1.0,0.0,0.0,0.0
0.320000,23.048092,-7.400512,3.080019,1.0,0.0,0.0,0.0
0.340000,23.048092,-7.350788,3.089291,1.0,0.0,0.0,0.0
0.360000,23.048092,-7.301065,3.098499,1.0,0.0,0.0,0.0
0.380000,23.048092,-7.251342,3.107639,1.0,0.0,0.0,0.0
0.400000,23.048092,-7.201618,3.116708,1.0,0.0,0.0,0.0
0.420000,23.048092,-7.151895,3.125702,1.0,0.0,0.0,0.0
0.440000,23.048092,-7.102172,3.134617,1.0,0.0,0.0,0.0
0.460000,23.048092,-7.052448,3.143451,1.0,0.0,0.0,0.0
0.480000,23.048092,-7.002725,3.152199,1.0,0.0,0.0,0.0
0.500000,23.048092,-6.953002,3.160859,1.0,0.0,0.0,0.0
0.520000,23.048092,-6.903278,3.169426,1.0,0.0,0.0,0.0
0.540000,23.048092,-6.853555,3.177898,1.0,0.0,0.0,0.0
0.560000,23.048092,-6.803832,3.186270,1.0,0.0,0.0,0.0
0.580000,23.048092,-6.754108,3.194541,1.0,0.0,0.0,0.0
0.600000,23.048092,-6.704385,3.202706,1.0,0.0,0.0,0.0
0.620000,23.048092,-6.654662,3.210763,1.0,0.0,0.0,0.0
0.640000,23.048092,-6.604938,3.218707,1.0,0.0,0.0,0.0
0.660000,23.048092,-6.555215,3.226537,1.0,0.0,0.0,0.0
0.680000,23.048092,-6.505492,3.234249,1.0,0.0,0.0,0.0
0.700000,23.048092,-6.455768,3.241840,1.0,0.0,0.0,0.0
0.720000,23.048092,-6.406045,3.249307,1.0,0.0,0.0,0.0
0.740000,23.048092,-6.356321,3.256647,1.0,0.0,0.0,0.0
0.760000,23.048092,-6.306598,3.263857,1.0,0.0,0.0,0.0
0.780000,23.048092,-6.256875,3.270934,1.0,0.0,0.0,0.0
0.800000,23.048092,-6.207151,3.277876,1.0,0.0,0.0,0.0
0.820000,23.048092,-6.157428,3.284680,1.0,0.0,0.0,0.0
0.840000,23.048092,-6.107705,3.291343,1.0,0.0,0.0,0.0
0.860000,23.048092,-6.057981,3.297863,1.0,0.0,0.0,0.0
0.880000,23.048092,-6.008258,3.304236,1.0,0.0,0.0,0.0
0.900000,23.048092,-5.958535,3.310462,1.0,0.0,0.0,0.0
0.920000,23.048092,-5.908811,3.316536,1.0,0.0,0.0,0.0
0.940000,23.048092,-5.859088,3.322457,1.0,0.0,0.0,0.0
0.960000,23.048092,-5.809365,3.328222,1.0,0.0,0.0,0.0
0.980000,23.048092,-5.759641,3.333829,1.0,0.0,0.0,0.0
1.000000,23.048092,-5.709918,3.339277,1.0,0.0,0.0,0.0
1.020000,23.048092,-5.660195,3.344562,1.0,0.0,0.0,0.0
1.040000,23.048092,-5.610471,3.349682,1.0,0.0,0.0,0.0
1.060000,23.048092,-5.560748,3.354637,1.0,0.0,0.0,0.0
1.080000,23.048092,-5.511024,3.359423,1.0,0.0,0.0,0.0
1.100000,23.048092,-5.461301,3.364039,1.0,0.0,0.0,0.0
1.120000,23.048092,-5.411578,3.368483,1.0,0.0,0.0,0.0
1.140000,23.048092,-5.361854,3.372753,1.0,0.0,0.0,0.0
1.160000,23.048092,-5.312131,3.376848,1.0,0.0,0.0,0.0
1.180000,23.048092,-5.262408,3.380766,1.0,0.0,0.0,0.0
1.200000,23.048092,-5.212684,3.384505,1.0,0.0,0.0,0.0
1.220000,23.048092,-5.162961,3.388065,1.0,0.0,0.0,0.0
1.240000,23.048092,-5.113238,3.391443,1.0,0.0,0.0,0.0
1.260000,23.048092,-5.063514,3.394638,1.0,0.0,0.0,0.0
1.280000,23.048092,-5.013791,3.397649,1.0,0.0,0.0,0.0
1.300000,23.048092,-4.964068,3.400475,1.0,0.0,0.0,0.0
1.320000,23.048092,-4.914344,3.403115,1.0,0.0,0.0,0.0
1.340000,23.048092,-4.864621,3.405568,1.0,0.0,0.0,0.0
1.360000,23.048092,-4.814898,3.407832,1.0,0.0,0.0,0.0
1.380000,23.048092,-4.765174,3.409907,1.0,0.0,0.0,0.0
1.400000,23.048092,-4.715451,3.411792,1.0,0.0,0.0,0.0
1.420000,23.048092,-4.665728,3.413487,1.0,0.0,0.0,0.0
1.440000,23.048092,-4.616004,3.414990,1.0,0.0,0.0,0.0
1.460000,23.048092,-4.566281,3.416301,1.0,0.0,0.0,0.0
1.480000,23.048092,-4.516557,3.417419,1.0,0.0,0.0,0.0
1.500000,23.048092,-4.466834,3.418345,1.0,0.0,0.0,0.0
1.520000,23.048092,-4.417111,3.419077,1.0,0.0,0.0,0.0
1.540000,23.048092,-4.367387,3.419616,1.0,0.0,0.0,0.0
1.560000,23.048092,-4.317664,3.419961,1.0,0.0,0.0,0.0
1.580000,23.048092,-4.267941,3.420112,1.0,0.0,0.0,0.0
1.600000,23.048092,-4.218217,3.420069,1.0,0.0,0.0,0.0
1.620000,23.048092,-4.168494,3.419833,1.0,0.0,0.0,0.0
1.640000,23.048092,-4.118771,3.419402,1.0,0.0,0.0,0.0
1.660000,23.048092,-4.069047,3.418778,1.0,0.0,0.0,0.0
1.680000,23.048092,-4.019324,3.417960,1.0,0.0,0.0,0.0
1.700000,23.048092,-3.969601,3.416949,1.0,0.0,0.0,0.0
1.720000,23.048092,-3.919877,3.415745,1.0,0.0,0.0,0.0
1.740000,23.048092,-3.870154,3.414349,1.0,0.0,0.0,0.0
1.760000,23.048092,-3.820431,3.412761,1.0,0.0,0.0,0.0
1.780000,23.048092,-3.770707,3.410983,1.0,0.0,0.0,0.0
1.800000,23.048092,-3.720984,3.409013,1.0,0.0,0.0,0.0
1.820000,23.048092,-3.671260,3.406855,1.0,0.0,0.0,0.0
1.840000,23.048092,-3.621537,3.404507,1.0,0.0,0.0,0.0
1.860000,23.048092,-3.571814,3.401972,1.0,0.0,0.0,0.0
1.880000,23.048092,-3.522090,3.399249,1.0,0.0,0.0,0.0
1.900000,23.048092,-3.472367,3.396341,1.0,0.0,0.0,0.0
1.920000,23.048092,-3.422644,3.393249,1.0,0.0,0.0,0.0
1.940000,23.048092,-3.372920,3.389972,1.0,0.0,0.0,0.0
1.960000,23.048092,-3.323197,3.386514,1.0,0.0,0.0,0.0
1.980000,23.048092,-3.273474,3.382875,1.0,0.0,0.0,0.0
2.000000,23.048092,-3.223750,3.379057,1.0,0.0,0.0,0.0
2.020000,23.048092,-3.174027,3.375060,1.0,0.0,0.0,0.0
2.040000,23.048092,-3.124304,3.370888,1.0,0.0,0.0,0.0
2.060000,23.048092,-3.074580,3.366540,1.0,0.0,0.0,0.0
2.080000,23.048092,-3.024857,3.362020,1.0,0.0,0.0,0.0
2.100000,23.048092,-2.975134,3.357329,1.0,0.0,0.0,0.0
2.120000,23.048092,-2.925410,3.352468,1.0,0.0,0.0,0.0
2.140000,23.048092,-2.875687,3.347440,1.0,0.0,0.0,0.0
2.160000,23.048092,-2.825964,3.342246,1.0,0.0,0.0,0.0
2.180000,23.048092,-2.776240,3.336889,1.0,0.0,0.0,0.0
2.200000,23.048092,-2.726517,3.331371,1.0,0.0,0.0,0.0
2.220000,23.048092,-2.676793,3.325694,1.0,0.0,0.0,0.0
2.240000,23.048092,-2.627070,3.319859,1.0,0.0,0.0,0.0
2.260000,23.048092,-2.577347,3.313870,1.0,0.0,0.0,0.0
2.280000,23.048092,-2.527623,3.307729,1.0,0.0,0.0,0.0
2.300000,23.048092,-2.477900,3.301438,1.0,0.0,0.0,0.0
2.320000,23.048092,-2.428177,3.295000,1.0,0.0,0.0,0.0
2.340000,23.048092,-2.378453,3.288416,1.0,0.0,0.0,0.0
2.360000,23.048092,-2.328730,3.281691,1.0,0.0,0.0,0.0
2.380000,23.048092,-2.279007,3.274825,1.0,0.0,0.0,0.0
2.400000,23.048092,-2.229283,3.267823,1.0,0.0,0.0,0.0
2.420000,23.048092,-2.179560,3.260687,1.0,0.0,0.0,0.0
2.440000,23.048092,-2.129837,3.253419,1.0,0.0,0.0,0.0
2.460000,23.048092,-2.080113,3.246023,1.0,0.0,0.0,0.0
2.480000,23.048092,-2.030390,3.238501,1.0,0.0,0.0,0.0
2.500000,23.048092,-1.980667,3.230856,1.0,0.0,0.0,0.0
2.520000,23.048092,-1.930943,3.223092,1.0,0.0,0.0,0.0
2.540000,23.048092,-1.881220,3.215211,1.0,0.0,0.0,0.0
2.560000,23.048092,-1.831497,3.207216,1.0,0.0,0.0,0.0
2.580000,23.048092,-1.781773,3.199111,1.0,0.0,0.0,0.0
2.600000,23.048092,-1.732050,3.190899,1.0,0.0,0.0,0.0
2.620000,23.048092,-1.682326,3.182583,1.0,0.0,0.0,0.0
2.640000,23.048092,-1.632603,3.174166,1.0,0.0,0.0,0.0
2.660000,23.048092,-1.582880,3.165652,1.0,0.0,0.0,0.0
2.680000,23.048092,-1.533156,3.157043,1.0,0.0,0.0,0.0
2.700000,23.048092,-1.483433,3.148344,1.0,0.0,0.0,0.0
2.720000,23.048092,-1.433710,3.139558,1.0,0.0,0.0,0.0
2.740000,23.048092,-1.383986,3.130688,1.0,0.0,0.0,0.0
2.760000,23.048092,-1.334263,3.121737,1.0,0.0,0.0,0.0
2.780000,23.048092,-1.284540,3.112710,1.0,0.0,0.0,0.0
2.800000,23.048092,-1.234816,3.103609,1.0,0.0,0.0,0.0
2.820000,23.048092,-1.185093,3.094438,1.0,0.0,0.0,0.0
2.840000,23.048092,-1.135370,3.085202,1.0,0.0,0.0,0.0
2.860000,23.048092,-1.085646,3.075903,1.0,0.0,0.0,0.0
2.880000,23.048092,-1.035923,3.066545,1.0,0.0,0.0,0.0
2.900000,23.048092,-0.986200,3.057131,1.0,0.0,0.0,0.0
2.920000,23.048092,-0.936476,3.047667,1.0,0.0,0.0,0.0
2.940000,23.048092,-0.886753,3.038154,1.0,0.0,0.0,0.0
2.960000,23.048092,-0.837029,3.028598,1.0,0.0,0.0,0.0
2.980000,23.048092,-0.787306,3.019001,1.0,0.0,0.0,0.0
3.000000,23.048092,-0.737583,3.009368,1.0,0.0,0.0,0.0
3.020000,23.048092,-0.687859,2.999702,1.0,0.0,0.0,0.0
3.040000,23.048092,-0.638136,2.990007,1.0,0.0,0.0,0.0
3.060000,23.048092,-0.588413,2.980287,1.0,0.0,0.0,0.0
3.080000,23.048092,-0.538689,2.970546,1.0,0.0,0.0,0.0
3.100000,23.048092,-0.488966,2.960787,1.0,0.0,0.0,0.0
3.120000,23.048092,-0.439243,2.951014,1.0,0.0,0.0,0.0
3.140000,23.048092,-0.389519,2.941232,1.0,0.0,0.0,0.0
3.160000,23.048092,-0.339796,2.931444,1.0,0.0,0.0,0.0
3.180000,23.048092,-0.290073,2.921653,1.0,0.0,0.0,0.0
3.200000,23.048092,-0.240349,2.911864,1.0,0.0,0.0,0.0
3.220000,23.048092,-0.190626,2.902081,1.0,0.0,0.0,0.0
3.240000,23.048092,-0.140903,2.892307,1.0,0.0,0.0,0.0
3.260000,23.048092,-0.091179,2.882547,1.0,0.0,0.0,0.0
3.280000,23.048092,-0.041456,2.872803,1.0,0.0,0.0,0.0
3.300000,23.048092,0.008267,2.863080,1.0,0.0,0.0,0.0
3.320000,23.048092,0.057991,2.853382,1.0,0.0,0.0,0.0
3.340000,23.048092,0.107714,2.843713,1.0,0.0,0.0,0.0
3.360000,23.048092,0.157438,2.834075,1.0,0.0,0.0,0.0
3.380000,23.048092,0.207161,2.824474,1.0,0.0,0.0,0.0
3.400000,23.048092,0.256884,2.814913,1.0,0.0,0.0,0.0
3.420000,23.048092,0.306608,2.805395,1.0,0.0,0.0,0.0
3.440000,23.048092,0.356331,2.795925,1.0,0.0,0.0,0.0
3.460000,23.048092,0.406054,2.786506,1.0,0.0,0.0,0.0
3.480000,23.048092,0.455778,2.777141,1.0,0.0,0.0,0.0
3.500000,23.048092,0.505501,2.767835,1.0,0.0,0.0,0.0
3.520000,23.048092,0.555224,2.758591,1.0,0.0,0.0,0.0
3.540000,23.048092,0.604948,2.749413,1.0,0.0,0.0,0.0
3.560000,23.048092,0.654671,2.740303,1.0,0.0,0.0,0.0
3.580000,23.048092,0.704394,2.731267,1.0,0.0,0.0,0.0
3.600000,23.048092,0.754118,2.722308,1.0,0.0,0.0,0.0
3.620000,23.048092,0.803841,2.713428,1.0,0.0,0.0,0.0
3.640000,23.048092,0.853564,2.704632,1.0,0.0,0.0,0.0
3.660000,23.048092,0.903288,2.695922,1.0,0.0,0.0,0.0
3.680000,23.048092,0.953011,2.687303,1.0,0.0,0.0,0.0
3.700000,23.048092,1.002735,2.678778,1.0,0.0,0.0,0.0
3.720000,23.048092,1.052458,2.670349,1.0,0.0,0.0,0.0
3.740000,23.048092,1.102181,2.662021,1.0,0.0,0.0,0.0
3.760000,23.048092,1.151905,2.653797,1.0,0.0,0.0,0.0
3.780000,23.048092,1.201628,2.645679,1.0,0.0,0.0,0.0
3.800000,23.048092,1.251351,2.637672,1.0,0.0,0.0,0.0
3.820000,23.048092,1.301075,2.629777,1.0,0.0,0.0,0.0
3.840000,23.048092,1.350798,2.621999,1.0,0.0,0.0,0.0
3.860000,23.048092,1.400521,2.614341,1.0,0.0,0.0,0.0
3.880000,23.048092,1.450245,2.606804,1.0,0.0,0.0,0.0
3.900000,23.048092,1.499968,2.599393,1.0,0.0,0.0,0.0
3.920000,23.048092,1.549691,2.592110,1.0,0.0,0.0,0.0
3.940000,23.048092,1.599415,2.584958,1.0,0.0,0.0,0.0
3.960000,23.048092,1.649138,2.577940,1.0,0.0,0.0,0.0
3.980000,23.048092,1.698861,2.571059,1.0,0.0,0.0,0.0
4.000000,23.048092,1.748585,2.564317,1.0,0.0,0.0,0.0
4.020000,23.048092,1.798308,2.557717,1.0,0.0,0.0,0.0
4.040000,23.048092,1.848031,2.551262,1.0,0.0,0.0,0.0
4.060000,23.048092,1.897755,2.544953,1.0,0.0,0.0,0.0
4.080000,23.048092,1.947478,2.538795,1.0,0.0,0.0,0.0
4.100000,23.048092,1.997202,2.532788,1.0,0.0,0.0,0.0
4.120000,23.048092,2.046925,2.526935,1.0,0.0,0.0,0.0
4.140000,23.048092,2.096648,2.521240,1.0,0.0,0.0,0.0
4.160000,23.048092,2.146372,2.515703,1.0,0.0,0.0,0.0
4.180000,23.048092,2.196095,2.510327,1.0,0.0,0.0,0.0
4.200000,23.048092,2.245818,2.505114,1.0,0.0,0.0,0.0
4.220000,23.048092,2.295542,2.500067,1.0,0.0,0.0,0.0
4.240000,23.048092,2.345265,2.495186,1.0,0.0,0.0,0.0
4.260000,23.048092,2.394988,2.490475,1.0,0.0,0.0,0.0
4.280000,23.048092,2.444712,2.485935,1.0,0.0,0.0,0.0
4.300000,23.048092,2.494435,2.481568,1.0,0.0,0.0,0.0
4.320000,23.048092,2.544158,2.477375,1.0,0.0,0.0,0.0
4.340000,23.048092,2.593882,2.473358,1.0,0.0,0.0,0.0
4.360000,23.048092,2.643605,2.469519,1.0,0.0,0.0,0.0
4.380000,23.048092,2.693328,2.465859,1.0,0.0,0.0,0.0
4.400000,23.048092,2.743052,2.462379,1.0,0.0,0.0,0.0
4.420000,23.048092,2.792775,2.459082,1.0,0.0,0.0,0.0
4.440000,23.048092,2.842498,2.455968,1.0,0.0,0.0,0.0
4.460000,23.048092,2.892222,2.453038,1.0,0.0,0.0,0.0
4.480000,23.048092,2.941945,2.450294,1.0,0.0,0.0,0.0
4.500000,23.048092,2.991669,2.447737,1.0,0.0,0.0,0.0
4.520000,23.048092,3.041392,2.445368,1.0,0.0,0.0,0.0
4.540000,23.048092,3.091115,2.443187,1.0,0.0,0.0,0.0
4.560000,23.048092,3.140839,2.441196,1.0,0.0,0.0,0.0
4.580000,23.048092,3.190562,2.439395,1.0,0.0,0.0,0.0
4.600000,23.048092,3.240285,2.437785,1.0,0.0,0.0,0.0
4.620000,23.048092,3.290009,2.436366,1.0,0.0,0.0,0.0
4.640000,23.048092,3.339732,2.435140,1.0,0.0,0.0,0.0
4.660000,23.048092,3.389455,2.434107,1.0,0.0,0.0,0.0
4.680000,23.048092,3.439179,2.433267,1.0,0.0,0.0,0.0
4.700000,23.048092,3.488902,2.432620,1.0,0.0,0.0,0.0
4.720000,23.048092,3.538625,2.432167,1.0,0.0,0.0,0.0
4.740000,23.048092,3.588349,2.431907,1.0,0.0,0.0,0.0
4.760000,23.048092,3.638072,2.431842,1.0,0.0,0.0,0.0
4.780000,23.048092,3.687795,2.431970,1.0,0.0,0.0,0.0
4.800000,23.048092,3.737519,2.432293,1.0,0.0,0.0,0.0
4.820000,23.048092,3.787242,2.432809,1.0,0.0,0.0,0.0
4.840000,23.048092,3.836966,2.433519,1.0,0.0,0.0,0.0
4.860000,23.048092,3.886689,2.434422,1.0,0.0,0.0,0.0
4.880000,23.048092,3.936412,2.435519,1.0,0.0,0.0,0.0
4.900000,23.048092,3.986136,2.436807,1.0,0.0,0.0,0.0
4.920000,23.048092,4.035859,2.438288,1.0,0.0,0.0,0.0
4.940000,23.048092,4.085582,2.439960,1.0,0.0,0.0,0.0
4.960000,23.048092,4.135306,2.441823,1.0,0.0,0.0,0.0
4.980000,23.048092,4.185029,2.443876,1.0,0.0,0.0,0.0
5.000000,23.048092,4.234752,2.446119,1.0,0.0,0.0,0.0
5.020000,23.048092,4.284476,2.448549,1.0,0.0,0.0,0.0
5.040000,23.048092,4.334199,2.451167,1.0,0.0,0.0,0.0
5.060000,23.048092,4.383922,2.453972,1.0,0.0,0.0,0.0
5.080000,23.048092,4.433646,2.456962,1.0,0.0,0.0,0.0
5.100000,23.048092,4.483369,2.460136,1.0,0.0,0.0,0.0
5.120000,23.048092,4.533092,2.463493,1.0,0.0,0.0,0.0
5.140000,23.048092,4.582816,2.467031,1.0,0.0,0.0,0.0
5.160000,23.048092,4.632539,2.470749,1.0,0.0,0.0,0.0
5.180000,23.048092,4.682262,2.474647,1.0,0.0,0.0,0.0
5.200000,23.048092,4.731986,2.478721,1.0,0.0,0.0,0.0
5.220000,23.048092,4.781709,2.482971,1.0,0.0,0.0,0.0
5.240000,23.048092,4.831433,2.487395,1.0,0.0,0.0,0.0
5.260000,23.048092,4.881156,2.491991,1.0,0.0,0.0,0.0
5.280000,23.048092,4.930879,2.496757,1.0,0.0,0.0,0.0
5.300000,23.048092,4.980603,2.501692,1.0,0.0,0.0,0.0
5.320000,23.048092,5.030326,2.506794,1.0,0.0,0.0,0.0
5.340000,23.048092,5.080049,2.512060,1.0,0.0,0.0,0.0
5.360000,23.048092,5.129773,2.517488,1.0,0.0,0.0,0.0
5.380000,23.048092,5.179496,2.523077,1.0,0.0,0.0,0.0
5.400000,23.048092,5.229219,2.528824,1.0,0.0,0.0,0.0
5.420000,23.048092,5.278943,2.534727,1.0,0.0,0.0,0.0
5.440000,23.048092,5.328666,2.540784,1.0,0.0,0.0,0.0
5.460000,23.048092,5.378389,2.546992,1.0,0.0,0.0,0.0
5.480000,23.048092,5.428113,2.553348,1.0,0.0,0.0,0.0
5.500000,23.048092,5.477836,2.559851,1.0,0.0,0.0,0.0
5.520000,23.048092,5.527559,2.566497,1.0,0.0,0.0,0.0
5.540000,23.048092,5.577283,2.573285,1.0,0.0,0.0,0.0
5.560000,23.048092,5.627006,2.580211,1.0,0.0,0.0,0.0
5.580000,23.048092,5.676730,2.587273,1.0,0.0,0.0,0.0
5.600000,23.048092,5.726453,2.594468,1.0,0.0,0.0,0.0
5.620000,23.048092,5.776176,2.601793,1.0,0.0,0.0,0.0
5.640000,23.048092,5.825900,2.609245,1.0,0.0,0.0,0.0
5.660000,23.048092,5.875623,2.616822,1.0,0.0,0.0,0.0
5.680000,23.048092,5.925346,2.624520,1.0,0.0,0.0,0.0
5.700000,23.048092,5.975070,2.632336,1.0,0.0,0.0,0.0
5.720000,23.048092,6.024793,2.640267,1.0,0.0,0.0,0.0
5.740000,23.048092,6.074516,2.648311,1.0,0.0,0.0,0.0
5.760000,23.048092,6.124240,2.656464,1.0,0.0,0.0,0.0
5.780000,23.048092,6.173963,2.664722,1.0,0.0,0.0,0.0
5.800000,23.048092,6.223686,2.673083,1.0,0.0,0.0,0.0
5.820000,23.048092,6.273410,2.681544,1.0,0.0,0.0,0.0
5.840000,23.048092,6.323133,2.690100,1.0,0.0,0.0,0.0
5.860000,23.048092,6.372856,2.698749,1.0,0.0,0.0,0.0
5.880000,23.048092,6.422580,2.707487,1.0,0.0,0.0,0.0
